,ContactID,TeamMember,StartDateTime,EndDateTime
0,0320CB8C-EB47-4DB7-90E2-DC168FE6D5C5,Edward Pool,2022-02-11 04:00:00,2022-02-11 15:00:00
1,0320CB8C-EB47-4DB7-90E2-DC168FE6D5C5,Edward Pool,2022-02-08 05:00:00,2022-02-08 16:00:00
2,0320CB8C-EB47-4DB7-90E2-DC168FE6D5C5,Edward Pool,2022-02-20 03:00:00,2022-02-20 22:00:00
3,0320CB8C-EB47-4DB7-90E2-DC168FE6D5C5,Edward Pool,2022-02-09 01:00:00,2022-02-09 23:00:00
4,0320CB8C-EB47-4DB7-90E2-DC168FE6D5C5,Edward Pool,2022-02-25 03:00:00,2022-02-25 15:00:00
5,0320CB8C-EB47-4DB7-90E2-DC168FE6D5C5,Edward Pool,2022-02-10 01:00:00,2022-02-10 22:00:00
6,0320CB8C-EB47-4DB7-90E2-DC168FE6D5C5,Edward Pool,2022-02-03 04:00:00,2022-02-03 23:00:00
7,0320CB8C-EB47-4DB7-90E2-DC168FE6D5C5,Edward Pool,2022-02-26 01:00:00,2022-02-26 16:00:00
8,0320CB8C-EB47-4DB7-90E2-DC168FE6D5C5,Edward Pool,2022-02-06 06:00:00,2022-02-06 15:00:00
9,0320CB8C-EB47-4DB7-90E2-DC168FE6D5C5,Edward Pool,2022-02-05 04:00:00,2022-02-05 22:00:00
10,0320CB8C-EB47-4DB7-90E2-DC168FE6D5C5,Edward Pool,2022-02-05 06:00:00,2022-02-05 17:00:00
11,0320CB8C-EB47-4DB7-90E2-DC168FE6D5C5,Edward Pool,2022-02-27 06:00:00,2022-02-27 17:00:00
12,03602567-DE6A-4721-8B36-2AB4305971BB,Craig Mint,2022-02-18 03:00:00,2022-02-18 23:00:00
13,03602567-DE6A-4721-8B36-2AB4305971BB,Craig Mint,2022-02-02 03:00:00,2022-02-02 20:00:00
14,03602567-DE6A-4721-8B36-2AB4305971BB,Craig Mint,2022-02-20 03:00:00,2022-02-20 20:00:00
15,03602567-DE6A-4721-8B36-2AB4305971BB,Craig Mint,2022-02-09 03:00:00,2022-02-09 23:00:00
16,03602567-DE6A-4721-8B36-2AB4305971BB,Craig Mint,2022-02-19 04:00:00,2022-02-19 20:00:00
17,03602567-DE6A-4721-8B36-2AB4305971BB,Craig Mint,2022-02-17 01:00:00,2022-02-17 22:00:00
18,03602567-DE6A-4721-8B36-2AB4305971BB,Craig Mint,2022-02-24 04:00:00,2022-02-24 23:00:00
19,03602567-DE6A-4721-8B36-2AB4305971BB,Craig Mint,2022-02-10 03:00:00,2022-02-10 20:00:00
20,03602567-DE6A-4721-8B36-2AB4305971BB,Craig Mint,2022-02-01 03:00:00,2022-02-01 20:00:00
21,03602567-DE6A-4721-8B36-2AB4305971BB,Craig Mint,2022-02-02 01:00:00,2022-02-02 22:00:00
22,03602567-DE6A-4721-8B36-2AB4305971BB,Craig Mint,2022-02-11 01:00:00,2022-02-11 21:00:00
23,03602567-DE6A-4721-8B36-2AB4305971BB,Craig Mint,2022-02-05 03:00:00,2022-02-05 22:00:00
24,038D52CB-CF14-4920-B64F-9CE64950F9CE,Fatima Dablan,2022-02-06 04:00:00,2022-02-06 23:00:00
25,038D52CB-CF14-4920-B64F-9CE64950F9CE,Fatima Dablan,2022-02-06 03:00:00,2022-02-06 23:00:00
26,038D52CB-CF14-4920-B64F-9CE64950F9CE,Fatima Dablan,2022-02-09 05:00:00,2022-02-09 20:00:00
27,038D52CB-CF14-4920-B64F-9CE64950F9CE,Fatima Dablan,2022-02-24 06:00:00,2022-02-24 23:00:00
28,038D52CB-CF14-4920-B64F-9CE64950F9CE,Fatima Dablan,2022-02-18 01:00:00,2022-02-18 20:00:00
29,038D52CB-CF14-4920-B64F-9CE64950F9CE,Fatima Dablan,2022-02-09 01:00:00,2022-02-09 19:00:00
30,038D52CB-CF14-4920-B64F-9CE64950F9CE,Fatima Dablan,2022-02-24 01:00:00,2022-02-24 15:00:00
31,038D52CB-CF14-4920-B64F-9CE64950F9CE,Fatima Dablan,2022-02-04 01:00:00,2022-02-04 23:00:00
32,038D52CB-CF14-4920-B64F-9CE64950F9CE,Fatima Dablan,2022-02-01 03:00:00,2022-02-01 19:00:00
33,038D52CB-CF14-4920-B64F-9CE64950F9CE,Fatima Dablan,2022-02-25 01:00:00,2022-02-25 22:00:00
34,038D52CB-CF14-4920-B64F-9CE64950F9CE,Fatima Dablan,2022-02-27 03:00:00,2022-02-27 20:00:00
35,03A007D0-9D64-4245-BFC4-6FEF9BDBD36C,Colin James,2022-02-07 01:00:00,2022-02-07 23:00:00
36,03A007D0-9D64-4245-BFC4-6FEF9BDBD36C,Colin James,2022-02-09 03:00:00,2022-02-09 20:00:00
37,03A007D0-9D64-4245-BFC4-6FEF9BDBD36C,Colin James,2022-02-27 03:00:00,2022-02-27 20:00:00
38,03A007D0-9D64-4245-BFC4-6FEF9BDBD36C,Colin James,2022-02-11 03:00:00,2022-02-11 20:00:00
39,03A007D0-9D64-4245-BFC4-6FEF9BDBD36C,Colin James,2022-02-11 03:00:00,2022-02-11 23:00:00
40,03A007D0-9D64-4245-BFC4-6FEF9BDBD36C,Colin James,2022-02-02 01:00:00,2022-02-02 22:00:00
41,03A007D0-9D64-4245-BFC4-6FEF9BDBD36C,Colin James,2022-02-02 01:00:00,2022-02-02 18:00:00
42,03A007D0-9D64-4245-BFC4-6FEF9BDBD36C,Colin James,2022-02-24 03:00:00,2022-02-24 23:00:00
43,03A007D0-9D64-4245-BFC4-6FEF9BDBD36C,Colin James,2022-02-05 03:00:00,2022-02-05 20:00:00
44,03A007D0-9D64-4245-BFC4-6FEF9BDBD36C,Colin James,2022-02-25 01:00:00,2022-02-25 23:00:00
45,03A007D0-9D64-4245-BFC4-6FEF9BDBD36C,Colin James,2022-02-05 05:00:00,2022-02-05 16:00:00
46,03A007D0-9D64-4245-BFC4-6FEF9BDBD36C,Colin James,2022-02-25 05:00:00,2022-02-25 23:00:00
47,04BCCB58-EB96-4445-8CB4-98A1AADF0C16,Michael Owens,2022-02-16 03:00:00,2022-02-16 20:00:00
48,04BCCB58-EB96-4445-8CB4-98A1AADF0C16,Michael Owens,2022-02-10 01:00:00,2022-02-10 20:00:00
49,04BCCB58-EB96-4445-8CB4-98A1AADF0C16,Michael Owens,2022-02-25 04:00:00,2022-02-25 18:00:00
50,04BCCB58-EB96-4445-8CB4-98A1AADF0C16,Michael Owens,2022-02-05 03:00:00,2022-02-05 23:00:00
51,04BCCB58-EB96-4445-8CB4-98A1AADF0C16,Michael Owens,2022-02-02 03:00:00,2022-02-02 20:00:00
52,04BCCB58-EB96-4445-8CB4-98A1AADF0C16,Michael Owens,2022-02-20 04:00:00,2022-02-20 20:00:00
53,04BCCB58-EB96-4445-8CB4-98A1AADF0C16,Michael Owens,2022-02-03 06:00:00,2022-02-03 20:00:00
54,04BCCB58-EB96-4445-8CB4-98A1AADF0C16,Michael Owens,2022-02-20 03:00:00,2022-02-20 19:00:00
55,04BCCB58-EB96-4445-8CB4-98A1AADF0C16,Michael Owens,2022-02-04 01:00:00,2022-02-04 22:00:00
56,04BCCB58-EB96-4445-8CB4-98A1AADF0C16,Michael Owens,2022-02-04 06:00:00,2022-02-04 22:00:00
57,04BCCB58-EB96-4445-8CB4-98A1AADF0C16,Michael Owens,2022-02-02 05:00:00,2022-02-02 15:00:00
58,04BCCB58-EB96-4445-8CB4-98A1AADF0C16,Michael Owens,2022-02-21 05:00:00,2022-02-21 18:00:00
59,04BCCB58-EB96-4445-8CB4-98A1AADF0C16,Michael Owens,2022-02-23 01:00:00,2022-02-23 20:00:00
60,04BCCB58-EB96-4445-8CB4-98A1AADF0C16,Michael Owens,2022-02-27 04:00:00,2022-02-27 17:00:00
61,06F77476-8C1E-4263-A941-BC425E24CC1B,Jimmy James,2022-02-06 01:00:00,2022-02-06 23:00:00
62,06F77476-8C1E-4263-A941-BC425E24CC1B,Jimmy James,2022-02-05 01:00:00,2022-02-05 20:00:00
63,06F77476-8C1E-4263-A941-BC425E24CC1B,Jimmy James,2022-02-12 06:00:00,2022-02-12 15:00:00
64,06F77476-8C1E-4263-A941-BC425E24CC1B,Jimmy James,2022-02-11 03:00:00,2022-02-11 16:00:00
65,06F77476-8C1E-4263-A941-BC425E24CC1B,Jimmy James,2022-02-24 03:00:00,2022-02-24 16:00:00
66,06F77476-8C1E-4263-A941-BC425E24CC1B,Jimmy James,2022-02-01 03:00:00,2022-02-01 23:00:00
67,06F77476-8C1E-4263-A941-BC425E24CC1B,Jimmy James,2022-02-02 03:00:00,2022-02-02 22:00:00
68,06F77476-8C1E-4263-A941-BC425E24CC1B,Jimmy James,2022-02-27 03:00:00,2022-02-27 23:00:00
69,06F77476-8C1E-4263-A941-BC425E24CC1B,Jimmy James,2022-02-10 06:00:00,2022-02-10 20:00:00
70,06F77476-8C1E-4263-A941-BC425E24CC1B,Jimmy James,2022-02-02 01:00:00,2022-02-02 20:00:00
71,06F77476-8C1E-4263-A941-BC425E24CC1B,Jimmy James,2022-02-06 05:00:00,2022-02-06 15:00:00
72,06F77476-8C1E-4263-A941-BC425E24CC1B,Jimmy James,2022-02-25 03:00:00,2022-02-25 23:00:00
